tmid,date,seq_id,exp_time_cmd,exp_time,filter,Alt,Az,current_mean,current_std,alt_std,az_std,alt_rank,az_rank,electrometer_filename,flag,mount_filename
20241001225119,2024-10-01 22:51:19.424716,1,,0.930306,Empty,88.93654,14.49456,-7.11909e-07,3.5415856618187304e-09,,,1,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_1.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_1
20241001225123,2024-10-01 22:51:23.791927,2,,0.929796,Empty,80.70189,-0.1094,-7.99111e-07,6.219950884050461e-09,,,2,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_2.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_2
20241001225128,2024-10-01 22:51:28.197946,3,,0.929905,Empty,70.22856,0.0,-9.91549e-07,1.1847801019598532e-08,,,3,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_3.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_3
20241001225132,2024-10-01 22:51:32.598968,4,,0.929787,Empty,61.13721,8e-05,-1.335877e-06,2.258670983122595e-08,,,4,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_4.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_4
20241001225137,2024-10-01 22:51:37.012439,5,,0.930232,Empty,52.18698,0.0,-1.9788e-06,4.2081132826957096e-08,,,5,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_5.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_5
20241001225141,2024-10-01 22:51:41.207095,6,,0.929155,Empty,41.71776,0.0,-3.10678e-06,9.696473379533409e-08,,,6,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_6.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_6
20241001225153,2024-10-01 22:51:53.388731,7,11.443371298414233,11.647645,Empty,86.50361,0.0,-1.54143400877193e-06,8.385414883788534e-07,,,0,1,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_7.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_7
20241001225206,2024-10-01 22:52:06.110643,8,,0.929298,Empty,81.54106,-29.86091,-6.884439999999999e-07,3.6196386559986717e-09,,,1,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_8.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_8
20241001225210,2024-10-01 22:52:10.475074,9,,0.929777,Empty,72.43004,-29.86091,-7.931700000000001e-07,6.4074550330064836e-09,,,2,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_9.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_9
20241001225214,2024-10-01 22:52:14.862257,10,,0.929872,Empty,63.664,-29.86091,-9.79565e-07,1.1673675727893058e-08,,,3,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_10.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_10
20241001225219,2024-10-01 22:52:19.255555,11,,0.931361,Empty,52.89402,-29.86091,-1.307229e-06,2.080912609890192e-08,,,4,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_11.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_11
20241001225223,2024-10-01 22:52:23.645639,12,,0.930475,Empty,43.6463,-29.86091,-1.862483e-06,3.6152480426659534e-08,,,5,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_12.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_12
20241001225227,2024-10-01 22:52:27.837153,13,,0.932127,Empty,35.06499,-29.86091,-2.76093e-06,7.969599801746638e-08,,,6,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_13.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_13
20241001225242,2024-10-01 22:52:42.708351,14,14.019064394581656,14.344337,Empty,89.7308,-29.86091,-1.2826927357142858e-06,7.29984509958461e-07,,,0,2,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_14.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_14
20241001225255,2024-10-01 22:52:55.417281,15,,0.929663,Empty,86.31308,-59.48907,-5.633359999999999e-07,9.780613477691601e-10,,,1,3,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_15.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_15
20241001225259,2024-10-01 22:52:59.774797,16,,0.93073,Empty,77.30232,-59.48907,-5.99671e-07,2.462236584895924e-09,,,2,3,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_16.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_16
20241001225304,2024-10-01 22:53:04.173082,17,,0.929874,Empty,67.26477,-59.48907,-6.598659999999999e-07,3.1591429217431633e-09,,,3,3,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_17.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_17
20241001225308,2024-10-01 22:53:08.566350,18,,0.929222,Empty,58.19766,-59.48907,-7.553640000000001e-07,5.760232981399282e-09,,,4,3,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_18.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_18
20241001225312,2024-10-01 22:53:12.960149,19,,0.931925,Empty,49.28662,-59.48907,-9.09942e-07,9.52890109089186e-09,,,5,3,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_19.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_19
20241001225317,2024-10-01 22:53:17.354306,20,,0.929333,Empty,38.71478,-59.48907,-1.150045e-06,1.4824204025849088e-08,,,6,3,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_20.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_20
20241001225331,2024-10-01 22:53:31.122484,21,12.951112848323463,13.218229,Empty,87.51453,-59.48907,-7.309707906976744e-07,2.1290379637840206e-07,,,0,3,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_21.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_21
20241001225343,2024-10-01 22:53:43.834043,22,,0.929889,Empty,86.97751,-88.96017,-4.869109999999999e-07,3.4915469350991913e-10,,,1,4,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_22.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_22
20241001225348,2024-10-01 22:53:48.189779,23,,0.929453,Empty,76.57378,-88.96017,-4.901800000000001e-07,5.017569132558178e-10,,,2,4,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_23.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_23
20241001225352,2024-10-01 22:53:52.597496,24,,0.930052,Empty,67.5547,-88.96017,-5.08991e-07,9.896105294508538e-10,,,3,4,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_24.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_24
20241001225356,2024-10-01 22:53:56.988967,25,,0.929672,Empty,58.84646,-88.96017,-5.43963e-07,2.2023625950328927e-09,,,4,4,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_25.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_25
20241001225401,2024-10-01 22:54:01.381125,26,,0.930438,Empty,48.32997,-88.96017,-6.06514e-07,3.9051714430995205e-09,,,5,4,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_26.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_26
20241001225405,2024-10-01 22:54:05.786033,27,,0.929174,Empty,39.27895,-88.96017,-7.08661e-07,6.293463990522236e-09,,,6,4,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_27.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_27
20241001225419,2024-10-01 22:54:19.539531,28,12.90313636691547,13.207143,Empty,89.78486,-88.96017,-5.25953457364341e-07,8.875353313862647e-08,,,0,4,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_28.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_28
20241001225432,2024-10-01 22:54:32.249120,29,,0.929584,Empty,85.92518,-118.22779,-4.17746e-07,1.084852063647385e-09,,,1,5,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_29.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_29
20241001225436,2024-10-01 22:54:36.604151,30,,0.929172,Empty,77.04478,-118.22787,-4.081920000000001e-07,8.29216497665117e-11,,,2,5,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_30.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_30
20241001225441,2024-10-01 22:54:41.011690,31,,0.929652,Empty,67.96167,-118.22787,-4.18997e-07,8.47113333621895e-10,,,3,5,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_31.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_31
20241001225445,2024-10-01 22:54:45.402911,32,,0.92942,Empty,57.37024,-118.22787,-4.4976e-07,1.9742238981432776e-09,,,4,5,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_32.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_32
20241001225449,2024-10-01 22:54:49.796903,33,,0.931138,Empty,48.2365,-118.22787,-5.04515e-07,3.257530506380545e-09,,,5,5,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_33.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_33
20241001225454,2024-10-01 22:54:54.201490,34,,0.929673,Empty,37.86807,-118.22787,-5.892520000000001e-07,4.995061160786724e-09,,,6,5,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_34.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_34
20241001225507,2024-10-01 22:55:07.956092,35,12.964924642503592,13.207833,Empty,88.67459,-118.22787,-4.357141317829458e-07,7.270410439608549e-08,,,0,5,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_35.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_35
20241001225520,2024-10-01 22:55:20.669821,36,,0.92996,Empty,86.37171,-147.46508,-3.57078e-07,1.3026419308466852e-09,,,1,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_36.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_36
20241001225525,2024-10-01 22:55:25.024645,37,,0.929367,Empty,77.68473,-147.46508,-3.46482e-07,5.5821142947808175e-11,,,2,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_37.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_37
20241001225529,2024-10-01 22:55:29.432213,38,,0.931051,Empty,66.89165,-147.46508,-3.60436e-07,1.0177150878315515e-09,,,3,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_38.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_38
20241001225533,2024-10-01 22:55:33.825644,39,,0.929599,Empty,57.91901,-147.46508,-3.96429e-07,2.270063655495153e-09,,,4,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_39.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_39
20241001225538,2024-10-01 22:55:38.217302,40,,0.929817,Empty,47.56773,-147.46508,-4.56151e-07,3.515623557777482e-09,,,5,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_40.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_40
20241001225542,2024-10-01 22:55:42.623802,41,,0.929487,Empty,38.41844,-147.46508,-5.41714e-07,4.947474507261251e-09,,,6,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_41.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_41
20241001225556,2024-10-01 22:55:56.357803,42,12.98385470534799,13.208364,Empty,89.03024,-147.46508,-3.819228062015504e-07,7.713558814333536e-08,,,0,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_42.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_42
20241001225609,2024-10-01 22:56:09.068086,43,,0.929724,Empty,85.06459,-177.04733,-3.02413e-07,9.21662085582355e-10,,,1,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_43.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_43
20241001225613,2024-10-01 22:56:13.422192,44,,0.930368,Empty,74.46569,-177.04733,-2.9745500000000004e-07,2.1606711920142167e-10,,,2,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_44.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_44
20241001225617,2024-10-01 22:56:17.828769,45,,0.929795,Empty,65.40095,-177.04733,-3.14988e-07,1.270281858486524e-09,,,3,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_45.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_45
20241001225622,2024-10-01 22:56:22.223401,46,,0.930077,Empty,54.7743,-177.04733,-3.53388e-07,2.282309356770013e-09,,,4,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_46.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_46
20241001225626,2024-10-01 22:56:26.616685,47,,0.929367,Empty,45.56128,-177.04733,-4.12339e-07,3.3214919840336834e-09,,,5,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_47.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_47
20241001225631,2024-10-01 22:56:31.025107,48,,0.929353,Empty,36.54418,-177.04733,-4.93536e-07,4.4181222255614355e-09,,,6,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_48.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_48
20241001225645,2024-10-01 22:56:45.266586,49,13.467821110511697,13.714752,Empty,89.53258,-177.04733,-3.351099328358209e-07,7.650156472316437e-08,,,0,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_49.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_49
20241001225656,2024-10-01 22:56:56.706926,50,,0.9306,Empty,85.23971,-178.55313,-2.59249e-07,7.233180489936598e-10,,,1,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_50.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_50
20241001225701,2024-10-01 22:57:01.062411,51,,0.929627,Empty,76.37205,-178.55313,-2.52097e-07,7.085901495223582e-11,,,2,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_51.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_51
20241001225705,2024-10-01 22:57:05.463452,52,,0.929222,Empty,65.68029,-178.55313,-2.63723e-07,9.196743989043123e-10,,,3,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_52.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_52
20241001225709,2024-10-01 22:57:09.857116,53,,0.929702,Empty,56.41207,-178.55313,-2.92887e-07,1.7879432317609979e-09,,,4,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_53.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_53
20241001225714,2024-10-01 22:57:14.251098,54,,0.929639,Empty,45.94735,-178.55313,-3.384e-07,2.6316230733142582e-09,,,5,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_54.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_54
20241001225718,2024-10-01 22:57:18.644584,55,,0.92972,Empty,36.64604,-178.55313,-4.01133e-07,3.508184858299225e-09,,,6,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_55.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_55
20241001225732,2024-10-01 22:57:32.482161,56,13.09278317512898,13.309871,Empty,88.23133,-178.55313,-2.796617384615385e-07,5.930819544698482e-08,,,0,7,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_56.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_56
20241001225737,2024-10-01 22:57:37.723113,57,,0.929474,Empty,81.8682,-178.55313,-2.2194900000000002e-07,4.452516142587247e-10,,,1,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_57.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_57
20241001225742,2024-10-01 22:57:42.080545,58,,0.930178,Empty,73.50798,-178.55313,-2.22442e-07,3.1396815125104547e-10,,,2,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_58.npy,True,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_58
20241001225746,2024-10-01 22:57:46.479660,59,,0.92973,Empty,62.4075,-178.55313,-2.3808200000000005e-07,1.0614499517169876e-09,,,3,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_59.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_59
20241001225750,2024-10-01 22:57:50.873287,60,,0.929252,Empty,53.63948,-178.55313,-2.67407e-07,1.6940368945214855e-09,,,4,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_60.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_60
20241001225755,2024-10-01 22:57:55.271050,61,,0.929909,Empty,42.95283,-178.55313,-3.09933e-07,2.4366413359376483e-09,,,5,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_61.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_61
20241001225759,2024-10-01 22:57:59.663151,62,,0.929566,Empty,33.84364,-178.55313,-3.65185e-07,3.049600793546591e-09,,,6,6,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202410/20241001_62.npy,False,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202410/mount_pointing_20241001_62
